Benchmark,Run,Filename,NumRepairs,RepairLimit,TimeToFirst,Runtime,Timeout,TimedOut,NodesExplored,DuplicateNodes
addedVarsGyro_Var1,7,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1,1,0.1737888250499963,0.1740061198361218,600.0,False,2,0
addedVarsGyro_Var1,8,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1,1,0.2512558589223772,0.2513843029737472,600.0,False,3,0
addedVarsGyro_Var1,9,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1,1,0.1484345060307532,0.1485860859975218,600.0,False,2,0
addedVarsGyro_Var1,10,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE2.spectra,1,1,0.1646643839776516,0.164779535960406,600.0,False,2,0
addedVarsGyro_Var1,1,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1,1,0.1763599039986729,0.1764727639965713,600.0,False,2,0
addedVarsGyro_Var1,2,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1,1,0.1772756560239941,0.1773954830132424,600.0,False,2,0
addedVarsGyro_Var1,3,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1,1,0.1585377650335431,0.1586564071476459,600.0,False,2,0
addedVarsGyro_Var1,4,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1,1,0.205150598892942,0.2052704179659485,600.0,False,2,0
addedVarsGyro_Var1,5,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1,1,0.1962256890255957,0.1964193480089306,600.0,False,2,0
addedVarsGyro_Var1,6,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1,1,0.1632832461036741,0.163411424960941,600.0,False,2,0
addedVarsGyro_Var1,7,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1,1,0.2978217101190239,0.2979678311385214,600.0,False,3,0
addedVarsGyro_Var1,8,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1,1,0.1854912280105054,0.185609586071223,600.0,False,2,0
addedVarsGyro_Var1,9,inputs-scalability/addedVarsGyro_Var1/GyroUnrealizable_Var1_710_GyroAspect_unrealizableE3.spectra,1,1,0.1796460419427603,0.1797608789056539,600.0,False,2,0
