Specification,NumRepairs
GyroLTL_595_GyroAspect_fixed_2_interpolation-bfs_exptacas20_duplicatecheck,4
GyroLTL_595_GyroAspect_fixed_3_interpolation-bfs_exptacas20_duplicatecheck,0
GyroLTL_595_GyroAspect_fixed_4_interpolation-bfs_exptacas20_duplicatecheck,4
GyroLTL_637_GyroAspect_fixed_1_interpolation-bfs_exptacas20_duplicatecheck,0
GyroLTL_637_GyroAspect_fixed_2_interpolation-bfs_exptacas20_duplicatecheck,0
GyroLTL_637_GyroAspect_fixed_3_interpolation-bfs_exptacas20_duplicatecheck,0
GyroLTL_700_GyroAspect_fixed_1_interpolation-bfs_exptacas20_duplicatecheck,0
GyroLTL_700_GyroAspect_fixed_2_interpolation-bfs_exptacas20_duplicatecheck,0
GyroLTL_700_GyroAspect_fixed_3_interpolation-bfs_exptacas20_duplicatecheck,0
HumanoidLTL_460_Humanoid_1_interpolation-bfs_exptacas20_duplicatecheck,1
HumanoidLTL_462_Humanoid_1_interpolation-bfs_exptacas20_duplicatecheck,1
HumanoidLTL_533_Humanoid_1_interpolation-bfs_exptacas20_duplicatecheck,0
HumanoidLTL_533_Humanoid_2_interpolation-bfs_exptacas20_duplicatecheck,1
HumanoidLTL_556_Humanoid_1_interpolation-bfs_exptacas20_duplicatecheck,4
HumanoidLTL_556_Humanoid_2_interpolation-bfs_exptacas20_duplicatecheck,0
HumanoidLTL_743_Humanoid_1_interpolation-bfs_exptacas20_duplicatecheck,1
HumanoidLTL_743_Humanoid_2_interpolation-bfs_exptacas20_duplicatecheck,0
HumanoidLTL_747_Humanoid_1_interpolation-bfs_exptacas20_duplicatecheck,2
HumanoidLTL_747_Humanoid_2_interpolation-bfs_exptacas20_duplicatecheck,0
HumanoidLTL_747_Humanoid_3_interpolation-bfs_exptacas20_duplicatecheck,0
HumanoidLTL_750_Humanoid_1_interpolation-bfs_exptacas20_duplicatecheck,2
HumanoidLTL_750_Humanoid_2_interpolation-bfs_exptacas20_duplicatecheck,0
HumanoidLTL_776_Humanoid_1_interpolation-bfs_exptacas20_duplicatecheck,2
HumanoidLTL_776_Humanoid_2_interpolation-bfs_exptacas20_duplicatecheck,0
HumanoidLTL_776_Humanoid_3_interpolation-bfs_exptacas20_duplicatecheck,0
HumanoidLTL_776_Humanoid_4_interpolation-bfs_exptacas20_duplicatecheck,0
