Benchmark,Filename,DepthToFirst,Effectiveness,MaxDepth,NodesExplored,NodesToFirst,NumRepairs,NumYUnsat,RefsPerDepth,Runtime,TimeToFirst,UniqueEffectiveness,UniqueNodesExplored,UniqueSols,Runs
SYNTECH15-1UNREAL,PcarLTL_830_PCar_fixed_2.spectra,2.0,0.3333333333333333,2.0,3.0,3.0,1.0,0.0,1.0,0.1981,0.1975,0.3333333333333333,3.0,1.0,10
SYNTECH15-1UNREAL,PcarLTL_856_PCar_fixed_1.spectra,,0.0,0.0,1.0,,0.0,1.0,1.0,0.0086,-0.001,0.0,1.0,0.0,10
SYNTECH15-1UNREAL,PcarLTL_856_PCar_fixed_2.spectra,,0.0,0.0,1.0,,0.0,1.0,1.0,0.0092,-0.001,0.0,1.0,0.0,10
SYNTECH15-1UNREAL,PcarLTL_857_PCar_fixed_1.spectra,,0.0,0.0,1.0,,0.0,1.0,1.0,0.008799999999999999,-0.001,0.0,1.0,0.0,10
SYNTECH15-1UNREAL,PcarLTL_857_PCar_fixed_2.spectra,,0.0,0.0,1.0,,0.0,1.0,1.0,0.008499999999999999,-0.001,0.0,1.0,0.0,10
SYNTECH15-1UNREAL,PcarLTL_860_PCar_fixed_1.spectra,4.0,0.2,4.0,5.0,5.0,1.0,0.0,1.0,2.1427,2.1422999999999996,0.2,5.0,1.0,10
SYNTECH15-1UNREAL,PcarLTL_860_PCar_fixed_2.spectra,,0.0,3.2,87.4,,0.0,0.0,20.369999999999997,654.0056,-0.001,0.0,86.9,0.0,10
SYNTECH15-UNREAL,ColorSortLTL3_689_ColorSort_fixed_unrealizable.spectra,,0.0,3.0,45.0,,0.0,0.0,11.25,660.0024999999999,-0.001,0.0,45.0,0.0,10
SYNTECH15-UNREAL,ColorSortLTLUnrealizable1_790_ColorSort_unrealizable.spectra,,0.0,5.1,242.9,,0.0,0.0,39.6452380952381,660.0026,-0.001,0.0,242.3,0.0,10
SYNTECH15-UNREAL,ColorSortLTLUnrealizable2_791_ColorSort_unrealizable.spectra,,0.0,144.6,145.8,,0.0,0.0,1.0,660.0024,-0.001,0.0,145.6,0.0,10
SYNTECH15-UNREAL,HumanoidLTL_503_Humanoid_fixed_unrealizable.spectra,,0.0,5.4,892.5,,0.0,0.0,139.28571428571428,660.0024,-0.001,0.0,891.5,0.0,10
SYNTECH15-UNREAL,HumanoidLTL_741_Humanoid_unrealizable.spectra,,0.0,3.0,196.0,,0.0,0.0,48.95,655.5469,-0.001,0.0,175.5,0.0,10
