Benchmark,Filename,DepthToFirst,DuplicateNodes,Effectiveness,MaxDepth,MinNumVariables,NodesExplored,NodesToFirst,NumFullyNonIOSeparable,NumInterpolantsComputed,NumNonStateSeparable,NumRepairs,NumYUnsat,RefsPerDepth,Runtime,TimeToFirst,TimedOut,TotalTimeCounterstrategy,TotalTimeCounterstrategyComputed,TotalTimeGenerationMethod,UniqueEffectiveness,UniqueNodesExplored,UniqueSols,Runs
SYNTECH15-1UNREAL,GyroLTL_595_GyroAspect_fixed_4.spectra,1.0,0.0,0.8400715360669594,2.5,7.0,14.4,2.1,0.0,2.5,0.0,11.3,0.6,3.85,1.5547859466998488,0.4464432647007925,0.0,0.20308748769602963,0.20308748769602963,0.2611865770973963,0.8400715360669594,14.4,11.3,10
SYNTECH15-1UNREAL,GyroLTL_637_GyroAspect_fixed_1.spectra,1.0,0.0,0.5714285714285714,2.0,10.0,8.0,2.7,0.0,2.0,0.0,4.0,2.0,2.6666666666666665,0.905356022901833,0.4685724405993824,0.0,0.11435940749797731,0.11435940749797731,0.19013741969756656,0.5714285714285714,8.0,4.0,10
SYNTECH15-1UNREAL,GyroLTL_637_GyroAspect_fixed_2.spectra,,0.0,0.0,1.0,,2.0,,0.0,1.0,0.0,0.0,1.0,1.0,0.3270589261999703,,0.0,0.10191520259759268,0.10191520259759268,0.07870178619850773,0.0,2.0,0.0,10
SYNTECH15-1UNREAL,GyroLTL_637_GyroAspect_fixed_3.spectra,1.0,0.0,0.7533221164800112,1.2,7.0,7.2,2.2,0.0,1.9,0.3,4.6,0.6,2.45,1.4828276806001668,0.8581507625989616,0.0,0.6649251291011751,0.6649251291011751,0.2652795808004157,0.7533221164800112,7.2,4.6,10
SYNTECH15-1UNREAL,GyroLTL_700_GyroAspect_fixed_1.spectra,1.0,0.0,0.5714285714285714,2.0,10.0,8.0,2.5,0.0,2.0,0.0,4.0,2.0,2.6666666666666665,0.9225091664979118,0.4370672641991405,0.0,0.11459318040142523,0.11459318040142523,0.17557530750200379,0.5714285714285714,8.0,4.0,10
SYNTECH15-1UNREAL,GyroLTL_700_GyroAspect_fixed_2.spectra,,0.0,0.0,1.0,,2.0,,0.0,1.0,0.0,0.0,1.0,1.0,0.3204229706971091,,0.0,0.10057441899916734,0.10057441899916734,0.0716394550989207,0.0,2.0,0.0,10
SYNTECH15-1UNREAL,GyroLTL_700_GyroAspect_fixed_3.spectra,1.0,0.0,0.8182685574229692,1.6,7.0,10.5,2.25,0.0,2.0,0.1,7.9,0.6,3.5583333333333336,1.415886099200725,0.6815606645004664,0.0,0.6058986909003579,0.6058986909003579,0.2034398107956803,0.8182685574229692,10.5,7.9,10
SYNTECH15-1UNREAL,HumanoidLTLVar3_872_Humanoid_1.spectra,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,1.5,0.44051947510015455,0.293915008802287,0.0,0.03819711159812863,0.03819711159812863,0.04337982759971052,1.0,3.0,2.0,10
SYNTECH15-1UNREAL,HumanoidLTLVar3_872_Humanoid_2.spectra,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,4.086712885699671,4.07982542519967,0.0,3.69683081119947,3.69683081119947,0.08874727950096709,1.0,2.0,1.0,10
SYNTECH15-1UNREAL,HumanoidLTL_460_Humanoid_1.spectra,3.0,0.0,0.2857142857142857,3.0,3.0,15.0,11.3,0.0,9.0,3.0,4.0,2.0,3.75,1.5410955172003014,1.4156254650988558,0.0,0.19949755129200597,0.19949755129200597,0.6588389328979243,0.2857142857142857,15.0,4.0,10
SYNTECH15-1UNREAL,HumanoidLTL_462_Humanoid_1.spectra,5.0,0.0,0.16666666666666666,5.0,5.0,25.0,21.5,0.0,17.0,7.0,4.0,4.0,4.166666666666667,5.59937797419916,5.3679501165010155,0.0,0.38416678180728836,0.38416678180728836,3.6630181095941223,0.16666666666666666,25.0,4.0,10
SYNTECH15-1UNREAL,HumanoidLTL_533_Humanoid_1.spectra,,0.0,,0.0,,1.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.25981646359796284,,0.0,0.07933176370133874,0.07933176370133874,0.09787581320051683,,1.0,0.0,10
SYNTECH15-1UNREAL,HumanoidLTL_533_Humanoid_2.spectra,,0.0,,0.0,,1.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.28130179999934624,,0.0,0.09169490209751525,0.09169490209751525,0.08709851210005577,,1.0,0.0,10
SYNTECH15-1UNREAL,HumanoidLTL_556_Humanoid_1.spectra,1.0,0.0,1.0,0.2,1.0,1.6,2.0,0.0,1.0,0.4,0.6,0.0,1.2,0.7579786156020418,0.9722889644945099,0.0,0.3847588250006083,0.3847588250006083,0.08475133139581882,1.0,1.6,0.6,10
SYNTECH15-1UNREAL,HumanoidLTL_556_Humanoid_2.spectra,1.0,0.0,0.5,1.0,1.0,3.0,2.7,0.0,2.0,0.8,1.0,0.0,1.5,0.8754458275987418,0.7361444783986372,0.0,0.2008519384049577,0.2008519384049577,0.13976566789860945,0.5,3.0,1.0,10
SYNTECH15-1UNREAL,HumanoidLTL_743_Humanoid_1.spectra,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.0,1.0,0.0,1.0,0.5571307396028715,0.5523910394011182,0.0,0.25038112360271036,0.25038112360271036,0.05412420779757663,1.0,2.0,1.0,10
SYNTECH15-1UNREAL,HumanoidLTL_743_Humanoid_2.spectra,1.2,0.0,0.5411250334365089,4.2,1.0,30.0,3.4,0.2,12.9,0.1,15.7,1.4,5.385714285714286,6.247241398102051,0.7653740787995048,0.0,2.465713960098946,2.465713960098946,0.835762372003955,0.5411250334365089,30.0,15.7,10
SYNTECH15-1UNREAL,HumanoidLTL_747_Humanoid_1.spectra,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,1.5,0.4269108963002509,0.2903957747032109,0.0,0.03781151790099098,0.03781151790099098,0.05532308420006297,1.0,3.0,2.0,10
SYNTECH15-1UNREAL,HumanoidLTL_747_Humanoid_2.spectra,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5530953582005168,0.5480714373006776,0.0,0.27781409610033736,0.27781409610033736,0.05249133090037498,1.0,2.0,1.0,10
SYNTECH15-1UNREAL,HumanoidLTL_747_Humanoid_3.spectra,1.5,0.0,0.13043677696995776,3.6,1.0,20.4,6.875,0.0,8.9,0.1,3.5,8.0,4.298333333333334,5.362742339601391,2.1566474913770435,0.0,2.307179048704711,2.307179048704711,0.5749842259021529,0.13043677696995776,20.4,3.5,10
SYNTECH15-1UNREAL,HumanoidLTL_750_Humanoid_1.spectra,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,1.5,0.465882938598952,0.31454087970123507,0.0,0.03613872419809918,0.03613872419809918,0.04154761479803706,1.0,3.0,2.0,10
SYNTECH15-1UNREAL,HumanoidLTL_750_Humanoid_2.spectra,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,7.652006381100364,7.644892877301027,0.0,7.226277734300675,7.226277734300675,0.1032317571000021,1.0,2.0,1.0,10
SYNTECH15-1UNREAL,HumanoidLTL_776_Humanoid_1.spectra,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,1.5,0.7406976485006453,0.4895212369992805,0.0,0.04577118440138287,0.04577118440138287,0.04600568339810703,1.0,3.0,2.0,10
SYNTECH15-1UNREAL,HumanoidLTL_776_Humanoid_2.spectra,1.0,0.0,0.625,0.8,2.0,1.8,2.0,0.0,0.9,0.0,0.5,0.0,1.0,559.7971643457989,459.6825000208002,0.5,436.57784015519866,623.6041418381981,0.18863231189752694,0.625,1.8,0.5,10
