Benchmark,Run,Filename,NumRepairs,RepairLimit,TimeToFirst,Runtime,Timeout,TimedOut,NodesExplored,DuplicateNodes,NumInterpolantsComputed,NumNonStateSeparable,Effectiveness,NodesToFirst,DepthToFirst,NumYUnsat,NumYUnsatNoFalse,NumFullyNonIOSeparable,MinNumVariables
AMBA-1,3,inputs/AMBA-1/amba02_nosafety0.spectra,0,-1,,32.59537151300174,600.0,False,8,0,6,5,0.0,,,0,0,0,
AMBA-1,4,inputs/AMBA-1/amba02_nosafety0.spectra,0,-1,,21.222812044998136,600.0,False,7,0,4,2,0.0,,,0,0,0,
AMBA-1,5,inputs/AMBA-1/amba02_nosafety0.spectra,0,-1,,6.113393667001219,600.0,False,2,0,1,0,0.0,,,0,0,0,
AMBA-1,6,inputs/AMBA-1/amba02_nosafety0.spectra,1,-1,46.64357121799912,61.438922302997526,600.0,False,20,0,12,6,0.05,10.0,2.0,0,0,0,4.0
AMBA-1,7,inputs/AMBA-1/amba02_nosafety0.spectra,0,-1,,37.9988150019999,600.0,False,10,0,6,3,0.0,,,0,0,0,
AMBA-1,8,inputs/AMBA-1/amba02_nosafety0.spectra,0,-1,,47.55424777999724,600.0,False,12,0,9,7,0.0,,,0,0,0,
AMBA-1,9,inputs/AMBA-1/amba02_nosafety0.spectra,0,-1,,26.85860230400067,600.0,False,8,0,5,3,0.0,,,0,0,0,
AMBA-1,10,inputs/AMBA-1/amba02_nosafety0.spectra,0,-1,,62.123489900001005,600.0,False,14,0,11,9,0.0,,,0,0,0,
AMBA-1,1,inputs/AMBA-1/amba02_nosafety1.spectra,0,-1,,3.040320914999029,600.0,False,2,0,1,0,0.0,,,0,0,0,
AMBA-1,2,inputs/AMBA-1/amba02_nosafety1.spectra,0,-1,,16.759211385997332,600.0,False,8,0,5,3,0.0,,,0,0,0,
AMBA-1,3,inputs/AMBA-1/amba02_nosafety1.spectra,0,-1,,12.940407243000664,600.0,False,6,0,4,3,0.0,,,0,0,0,
