Id,UniqueRefinement,Timestamp,Length,Parent,NumChildren,IsRealizable,IsSatisfiable,IsWellSeparated,IsSolution,TimeRealizabilityCheck,TimeSatisfiabilityCheck,TimeWellSeparationCheck,TimeCounterstrategy,CounterstrategyNumStates,TimeRefine,TimeGenerationMethod,NumVariables,ContainsAux,d1,d2,nummaxentropysccs,d3,NumAssumptions
4833ab55-b3ef-4094-a21c-184532584cc5,[],0.0020239920122548,0,,2,False,,,False,1.9443953520385548,,,13.487511374987662,6145.0,5.621399031952024e-05,0.1076301289722323,,False,,,,,
b75caedc-ef94-4050-8775-a154347004ff,['G((!ack_hor_0) -> X(!(!ack_hor_0)))'],15.554593607026618,1,4833ab55-b3ef-4094-a21c-184532584cc5,0,True,True,True,True,1.6915525970398448,1.6619282850297168,1.6742780079948716,,,,,1,False,,,,,1.0
e76d3730-297f-4373-a718-e418f910d686,['G(F(!(!ack_hor_0)))'],15.554605644021647,1,4833ab55-b3ef-4094-a21c-184532584cc5,0,True,True,True,True,2.4313505240133964,1.6219652370200492,1.6884074519621208,,,,,1,False,,,,,1.0
